age,marital,education,housing,duration,bankrupt
28,married,high.school,yes,81,1
36,married,university.degree,no,227,1
54,married,basic.4y,yes,230,0
59,married,university.degree,no,477,1
56,married,high.school,no,307,0
50,married,basic.4y,no,287,1
31,divorced,professional.course,yes,78,1
52,married,university.degree,no,185,1
41,married,unknown,no,55,0
46,married,basic.6y,yes,440,0
44,single,basic.9y,yes,91,0
56,married,unknown,yes,46,0
60,married,basic.9y,no,301,0
43,married,unknown,no,366,0
44,married,university.degree,yes,188,0
26,single,high.school,yes,252,0
36,single,basic.4y,no,291,1
32,single,basic.6y,no,167,1
40,married,high.school,no,322,1
54,divorced,university.degree,yes,843,0
55,married,professional.course,yes,145,0
60,married,unknown,no,213,0
40,married,high.school,yes,161,1
37,married,basic.9y,no,270,1
49,married,unknown,no,73,0
41,married,high.school,no,139,1
46,married,basic.9y,no,128,0
